Date,T_i
Jan-51,1.5
Feb-51,0.9
Mar-51,-0.1
Apr-51,-0.3
May-51,-0.7
Jun-51,0.2
Jul-51,-1
Aug-51,-0.2
Sep-51,-1.1
Oct-51,-1
Nov-51,-0.8
Dec-51,-0.7
Jan-52,-0.9
Feb-52,-0.6
Mar-52,0.5
Apr-52,-0.2
May-52,0.8
Jun-52,0.7
Jul-52,0.5
Aug-52,0.1
Sep-52,-0.2
Oct-52,0.4
Nov-52,0
Dec-52,-1.2
Jan-53,0.3
Feb-53,-0.5
Mar-53,-0.2
Apr-53,0.2
May-53,-1.7
Jun-53,0.1
Jul-53,0
Aug-53,-1.2
Sep-53,-1.2
Oct-53,0.1
Nov-53,-0.3
Dec-53,-0.5
Jan-54,0.7
Feb-54,-0.3
Mar-54,0.3
Apr-54,0.6
May-54,0.5
Jun-54,0.1
Jul-54,0.4
Aug-54,1.1
Sep-54,0.2
Oct-54,0.3
Nov-54,0.1
Dec-54,1.4
Jan-55,-0.5
Feb-55,1.9
Mar-55,0.6
Apr-55,-0.1
May-55,1
Jun-55,1.3
Jul-55,1.6
Aug-55,1.5
Sep-55,1.3
Oct-55,1.5
Nov-55,1.2
Dec-55,1
Jan-56,1.3
Feb-56,1.6
Mar-56,1.3
Apr-56,0.9
May-56,1.4
Jun-56,1.1
Jul-56,1.1
Aug-56,1.2
Sep-56,0.1
Oct-56,1.8
Nov-56,0.2
Dec-56,1.1
Jan-57,0.6
Feb-57,-0.1
Mar-57,0.2
Apr-57,0.2
May-57,-0.7
Jun-57,0.2
Jul-57,0.2
Aug-57,-0.5
Sep-57,-0.9
Oct-57,0
Nov-57,-1
Dec-57,-0.3
Jan-58,-1.9
Feb-58,-0.5
Mar-58,0.3
Apr-58,0.4
May-58,-0.5
Jun-58,0.3
Jul-58,0.4
Aug-58,0.9
Sep-58,-0.3
Oct-58,0.1
Nov-58,-0.4
Dec-58,-0.6
Jan-59,-0.9
Feb-59,-1.4
Mar-59,1.3
Apr-59,0.4
May-59,0.5
Jun-59,-0.1
Jul-59,-0.3
Aug-59,-0.1
Sep-59,0
Oct-59,0.5
Nov-59,0.9
Dec-59,0.9
Jan-60,0.1
Feb-60,0.1
Mar-60,1
Apr-60,0.8
May-60,0.5
Jun-60,0.1
Jul-60,0.5
Aug-60,0.8
Sep-60,0.7
Oct-60,0.1
Nov-60,0.5
Dec-60,0.8
Jan-61,-0.3
Feb-61,0.9
Mar-61,-1.8
Apr-61,0.8
May-61,0.3
Jun-61,0.1
Jul-61,0.2
Aug-61,0.2
Sep-61,0.1
Oct-61,-0.3
Nov-61,0.5
Dec-61,1.5
Jan-62,2
Feb-62,-0.3
Mar-62,0.1
Apr-62,0.2
May-62,1.1
Jun-62,0.7
Jul-62,0.1
Aug-62,0.6
Sep-62,0.4
Oct-62,1
Nov-62,0.3
Dec-62,0.2
Jan-63,1
Feb-63,0.6
Mar-63,1.1
Apr-63,0.8
May-63,0.4
Jun-63,-0.5
Jul-63,-0.1
Aug-63,0
Sep-63,-0.6
Oct-63,-1.2
Nov-63,-0.8
Dec-63,-1.2
Jan-64,-0.4
Feb-64,0
Mar-64,1.1
Apr-64,1.1
May-64,0.2
Jun-64,0.8
Jul-64,0.6
Aug-64,1.5
Sep-64,1.3
Oct-64,1.3
Nov-64,0.2
Dec-64,-0.3
Jan-65,-0.4
Feb-65,0.4
Mar-65,0.8
Apr-65,-0.5
May-65,0.2
Jun-65,-0.6
Jul-65,-1.8
Aug-65,-0.7
Sep-65,-1.3
Oct-65,-0.9
Nov-65,-1.5
Dec-65,0.2
Jan-66,-1.3
Feb-66,-0.2
Mar-66,-0.9
Apr-66,-0.2
May-66,-0.4
Jun-66,0.3
Jul-66,0.1
Aug-66,0.6
Sep-66,-0.2
Oct-66,-0.1
Nov-66,0
Dec-66,-0.3
Jan-67,1.7
Feb-67,1.7
Mar-67,1.2
Apr-67,0
May-67,0
Jun-67,0.6
Jul-67,0.2
Aug-67,0.7
Sep-67,0.5
Oct-67,0.1
Nov-67,-0.4
Dec-67,-0.6
Jan-68,0.5
Feb-68,1.3
Mar-68,0.1
Apr-68,0
May-68,1.2
Jun-68,1.1
Jul-68,0.7
Aug-68,0.3
Sep-68,-0.3
Oct-68,-0.1
Nov-68,-0.3
Dec-68,0.2
Jan-69,-1.5
Feb-69,-0.5
Mar-69,0.4
Apr-69,-0.4
May-69,-0.2
Jun-69,0.2
Jul-69,-0.5
Aug-69,-0.1
Sep-69,-1
Oct-69,-0.9
Nov-69,-0.1
Dec-69,0.4
Jan-70,-1.1
Feb-70,-1
Mar-70,0.6
Apr-70,-0.1
May-70,0.4
Jun-70,1
Jul-70,-0.4
Aug-70,0.6
Sep-70,1.2
Oct-70,1
Nov-70,1.6
Dec-70,1.9
Jan-71,0.4
Feb-71,2
Mar-71,2.3
Apr-71,1.7
May-71,0.9
Jun-71,0.4
Jul-71,0.2
Aug-71,1.5
Sep-71,1.4
Oct-71,1.7
Nov-71,0.5
Dec-71,0.3
Jan-72,0.5
Feb-72,1.1
Mar-72,0.6
Apr-72,-0.1
May-72,-1.6
Jun-72,-0.5
Jul-72,-1.4
Aug-72,-0.5
Sep-72,-1.4
Oct-72,-0.9
Nov-72,-0.3
Dec-72,-1.3
Jan-73,-0.3
Feb-73,-1.4
Mar-73,0.7
Apr-73,0.1
May-73,0.4
Jun-73,1.1
Jul-73,0.6
Aug-73,1.3
Sep-73,1.2
Oct-73,0.8
Nov-73,2.6
Dec-73,1.8
Jan-74,2.4
Feb-74,2.1
Mar-74,2.4
Apr-74,0.9
May-74,1
Jun-74,0.4
Jul-74,1.1
Aug-74,0.8
Sep-74,1.1
Oct-74,0.9
Nov-74,-0.1
Dec-74,0.2
Jan-75,-0.5
Feb-75,0.8
Mar-75,1.6
Apr-75,1.2
May-75,0.6
Jun-75,1.3
Jul-75,1.9
Aug-75,2
Sep-75,2.1
Oct-75,1.7
Nov-75,1.2
Dec-75,2.1
Jan-76,1.4
Feb-76,1.7
Mar-76,1.7
Apr-76,0.3
May-76,0.4
Jun-76,0.3
Jul-76,-0.9
Aug-76,-0.8
Sep-76,-1.1
Oct-76,0.4
Nov-76,0.7
Dec-76,-0.3
Jan-77,-0.4
Feb-77,1.2
Mar-77,-0.5
Apr-77,-0.4
May-77,-0.5
Jun-77,-0.9
Jul-77,-1.1
Aug-77,-0.8
Sep-77,-0.8
Oct-77,-1
Nov-77,-1.3
Dec-77,-1.1
Jan-78,-0.3
Feb-78,-2.7
Mar-78,-0.2
Apr-78,-0.3
May-78,1.4
Jun-78,0.7
Jul-78,0.6
Aug-78,0.4
Sep-78,0.1
Oct-78,-0.4
Nov-78,0
Dec-78,-0.1
Jan-79,-0.4
Feb-79,1
Mar-79,0.1
Apr-79,-0.1
May-79,0.5
Jun-79,0.6
Jul-79,1.3
Aug-79,-0.2
Sep-79,0.1
Oct-79,-0.1
Nov-79,-0.4
Dec-79,-0.7
Jan-80,0.4
Feb-80,0.3
Mar-80,-0.4
Apr-80,-0.6
May-80,0
Jun-80,0
Jul-80,0
Aug-80,0.4
Sep-80,-0.5
Oct-80,0
Nov-80,-0.3
Dec-80,-0.1
Jan-81,0.4
Feb-81,-0.2
Mar-81,-1.3
Apr-81,-0.1
May-81,0.8
Jun-81,1.2
Jul-81,0.8
Aug-81,0.7
Sep-81,0.3
Oct-81,-0.4
Nov-81,0.2
Dec-81,0.5
Jan-82,1.2
Feb-82,0.3
Mar-82,0.6
Apr-82,0.1
May-82,-0.3
Jun-82,-1
Jul-82,-1.5
Aug-82,-1.7
Sep-82,-1.7
Oct-82,-1.7
Nov-82,-2.6
Dec-82,-2.2
Jan-83,-3.5
Feb-83,-3.6
Mar-83,-2.4
Apr-83,-0.9
May-83,0.6
Jun-83,0
Jul-83,-0.6
Aug-83,0.1
Sep-83,0.9
Oct-83,0.4
Nov-83,-0.1
Dec-83,0
Jan-84,0.2
Feb-84,0.9
Mar-84,-0.2
Apr-84,0.3
May-84,0.2
Jun-84,-0.3
Jul-84,0.2
Aug-84,0.4
Sep-84,0.1
Oct-84,-0.3
Nov-84,0.3
Dec-84,-0.1
Jan-85,-0.3
Feb-85,1.2
Mar-85,0.8
Apr-85,1.2
May-85,0.4
Jun-85,-0.4
Jul-85,-0.1
Aug-85,1
Sep-85,0
Oct-85,-0.4
Nov-85,-0.2
Dec-85,0.2
Jan-86,1
Feb-86,-1
Mar-86,0.5
Apr-86,0.3
May-86,-0.2
Jun-86,1
Jul-86,0.3
Aug-86,-0.4
Sep-86,-0.5
Oct-86,0.6
Nov-86,-1.2
Dec-86,-1.4
Jan-87,-0.7
Feb-87,-1.2
Mar-87,-1.3
Apr-87,-1.4
May-87,-1.3
Jun-87,-1.1
Jul-87,-1.4
Aug-87,-0.9
Sep-87,-1
Oct-87,-0.4
Nov-87,0
Dec-87,-0.5
Jan-88,-0.1
Feb-88,-0.4
Mar-88,0.6
Apr-88,0.1
May-88,0.9
Jun-88,0.1
Jul-88,1
Aug-88,1.5
Sep-88,1.8
Oct-88,1.4
Nov-88,1.7
Dec-88,1.2
Jan-89,1.5
Feb-89,1.2
Mar-89,1.1
Apr-89,1.6
May-89,1.2
Jun-89,0.7
Jul-89,0.9
Aug-89,-0.3
Sep-89,0.5
Oct-89,0.8
Nov-89,-0.2
Dec-89,-0.5
Jan-90,-0.1
Feb-90,-1.8
Mar-90,-0.4
Apr-90,0.2
May-90,1.2
Jun-90,0.3
Jul-90,0.5
Aug-90,-0.2
Sep-90,-0.7
Oct-90,0.3
Nov-90,-0.5
Dec-90,-0.2
Jan-91,0.6
Feb-91,0.3
Mar-91,-0.7
Apr-91,-0.6
May-91,-1
Jun-91,-0.1
Jul-91,0
Aug-91,-0.4
Sep-91,-1.5
Oct-91,-1
Nov-91,-0.7
Dec-91,-1.8
Jan-92,-2.9
Feb-92,-0.9
Mar-92,-2
Apr-92,-1
May-92,0.3
Jun-92,-0.6
Jul-92,-0.6
Aug-92,0.4
Sep-92,0.1
Oct-92,-1.4
Nov-92,-0.7
Dec-92,-0.6
Jan-93,-0.9
Feb-93,-0.7
Mar-93,-0.5
Apr-93,-1.2
May-93,-0.3
Jun-93,-0.8
Jul-93,-0.8
Aug-93,-0.9
Sep-93,-0.7
Oct-93,-1.1
Nov-93,-0.1
Dec-93,0.2
Jan-94,-0.1
Feb-94,0.3
Mar-94,-0.7
Apr-94,-1.3
May-94,-0.7
Jun-94,-0.4
Jul-94,-1.3
Aug-94,-1.2
Sep-94,-1.6
Oct-94,-1.1
Nov-94,-0.6
Dec-94,-1.2
Jan-95,-0.4
Feb-95,-0.1
Mar-95,0.8
Apr-95,-0.7
May-95,-0.4
Jun-95,0.1
Jul-95,0.4
Aug-95,0.3
Sep-95,0.3
Oct-95,0
Nov-95,0
Dec-95,-0.5
Jan-96,1
Feb-96,0.3
Mar-96,1.1
Apr-96,0.8
May-96,0.3
Jun-96,1.2
Jul-96,0.7
Aug-96,0.7
Sep-96,0.6
Oct-96,0.6
Nov-96,-0.1
Dec-96,0.9
Jan-97,0.5
Feb-97,1.7
Mar-97,-0.4
Apr-97,-0.6
May-97,-1.3
Jun-97,-1.4
Jul-97,-0.8
Aug-97,-1.4
Sep-97,-1.4
Oct-97,-1.5
Nov-97,-1.2
Dec-97,-1
Jan-98,-2.7
Feb-98,-2
Mar-98,-2.4
Apr-98,-1.4
May-98,0.3
Jun-98,1
Jul-98,1.2
Aug-98,1.2
Sep-98,1
Oct-98,1.1
Nov-98,1
Dec-98,1.4
Jan-99,1.8
Feb-99,1
Mar-99,1.3
Apr-99,1.4
May-99,0.2
Jun-99,0.3
Jul-99,0.5
Aug-99,0.4
Sep-99,-0.1
Oct-99,1
Nov-99,1
Dec-99,1.4
Jan-00,0.7
Feb-00,1.7
Mar-00,1.3
Apr-00,1.2
May-00,0.4
Jun-00,-0.2
Jul-00,-0.2
Aug-00,0.7
Sep-00,0.9
Oct-00,1.1
Nov-00,1.8
Dec-00,0.8
Jan-01,1
Feb-01,1.7
Mar-01,0.9
Apr-01,0.2
May-01,-0.5
Jun-01,0.3
Jul-01,-0.2
Aug-01,-0.4
Sep-01,0.2
Oct-01,0
Nov-01,0.7
Dec-01,-0.8
Jan-02,0.4
Feb-02,1.1
Mar-02,-0.2
Apr-02,-0.1
May-02,-0.8
Jun-02,-0.2
Jul-02,-0.5
Aug-02,-1
Sep-02,-0.6
Oct-02,-0.4
Nov-02,-0.5
Dec-02,-1.1
Jan-03,-0.2
Feb-03,-0.7
Mar-03,-0.3
Apr-03,-0.1
May-03,-0.3
Jun-03,-0.6
Jul-03,0.3
Aug-03,0.1
Sep-03,-0.1
Oct-03,0
Nov-03,-0.3
Dec-03,1.1
Jan-04,-1.3
Feb-04,1.2
Mar-04,0.4
Apr-04,-0.9
May-04,1
Jun-04,-0.8
Jul-04,-0.5
Aug-04,-0.3
Sep-04,-0.3
Oct-04,-0.1
Nov-04,-0.7
Dec-04,-0.8
Jan-05,0.3
Feb-05,-3.1
Mar-05,0.3
Apr-05,-0.6
May-05,-0.8
Jun-05,0.4
Jul-05,0.2
Aug-05,-0.3
Sep-05,0.4
Oct-05,1.2
Nov-05,-0.2
Dec-05,0
Jan-06,1.7
Feb-06,0.1
Mar-06,1.8
Apr-06,1.1
May-06,-0.5
Jun-06,-0.2
Jul-06,-0.6
Aug-06,-1
Sep-06,-0.6
Oct-06,-1.3
Nov-06,0.1
Dec-06,-0.3
Jan-07,-0.8
Feb-07,-0.1
Mar-07,0.2
Apr-07,-0.1
May-07,-0.1
Jun-07,0.5
Jul-07,-0.3
Aug-07,0.4
Sep-07,0.2
Oct-07,0.7
Nov-07,0.9
Dec-07,1.7
Jan-08,1.8
Feb-08,2.6
Mar-08,1.4
Apr-08,0.7
May-08,-0.1
Jun-08,0.6
Jul-08,0.3
Aug-08,1
Sep-08,1.2
Oct-08,1.3
Nov-08,1.3
Dec-08,1.4
Jan-09,1.1
Feb-09,1.9
Mar-09,0.4
Apr-09,0.8
May-09,-0.1
Jun-09,0.1
Jul-09,0.2
Aug-09,-0.2
Sep-09,0.3
Oct-09,-1.2
Nov-09,-0.6
Dec-09,-0.7
Jan-10,-1.1
Feb-10,-1.5
Mar-10,-0.7
Apr-10,1.2
May-10,0.9
Jun-10,0.4
Jul-10,1.8
Aug-10,1.8
Sep-10,2.2
Oct-10,1.7
Nov-10,1.3
Dec-10,2.9
Jan-11,2.3
Feb-11,2.7
Mar-11,2.5
Apr-11,1.9
May-11,0.4
Jun-11,0.2
Jul-11,1
Aug-11,0.4
Sep-11,1
Oct-11,0.8
Nov-11,1.1
Dec-11,2.5
Jan-12,1.1
Feb-12,0.5
Mar-12,0.7
Apr-12,-0.3
May-12,0
Jun-12,-0.4
Jul-12,0
Aug-12,-0.2
Sep-12,0.2
Oct-12,0.3
Nov-12,0.3
Dec-12,-0.6
Jan-13,-0.1
Feb-13,-0.2
Mar-13,1.5
Apr-13,0.2
May-13,0.8
Jun-13,1.2
Jul-13,0.8
Aug-13,0.2
Sep-13,0.3
Oct-13,-0.1
Nov-13,0.7
Dec-13,0.1
Jan-14,1.4
Feb-14,0.1
Mar-14,-0.9
Apr-14,0.8
May-14,0.5
Jun-14,0.2
Jul-14,-0.2
Aug-14,-0.7
Sep-14,-0.7
Oct-14,-0.6
Nov-14,-0.9
Dec-14,-0.6
Jan-15,-0.8
Feb-15,0.2
Mar-15,-0.7
Apr-15,0
May-15,-0.7
Jun-15,-0.6
Jul-15,-1.1
Aug-15,-1.4
Sep-15,-1.6
Oct-15,-1.7
Nov-15,-0.5
Dec-15,-0.6
Jan-16,-2.2
Feb-16,-2
Mar-16,-0.1
Apr-16,-1.2
May-16,0.4
Jun-16,0.6
Jul-16,0.4
Aug-16,0.7
Sep-16,1.2
Oct-16,-0.3
Nov-16,-0.1
Dec-16,0.3
Jan-17,0.2
Feb-17,-0.1
Mar-17,0.9
Apr-17,-0.2
May-17,0.3
Jun-17,-0.4
Jul-17,0.8
Aug-17,0.5
Sep-17,0.6
Oct-17,0.9
Nov-17,0.9
Dec-17,-0.1
Jan-18,1.1
Feb-18,-0.5
Mar-18,1.5
Apr-18,0.5
May-18,0.4
Jun-18,-0.1
Jul-18,0.2
Aug-18,-0.3
Sep-18,-0.9
Oct-18,0.4
Nov-18,-0.1
Dec-18,1
Jan-19,0
Feb-19,-1.4
Mar-19,-0.3
Apr-19,0.1
May-19,-0.4
Jun-19,-0.5
